% Title: Sonar data
% Sources: Bruno's room 
@RELATION proximity

@ATTRIBUTE avg 		NUMERIC
@ATTRIBUTE diff_avg	NUMERIC
@ATTRIBUTE std_dev	NUMERIC
@ATTRIBUTE class	{empty, occupied}

@DATA
59.782875,0.0215271739131,2.65428835916,empty
60.3272692308,0.544394230769,3.56275130266,empty
60.59825,0.270980769231,4.34159544862,empty
59.7446666667,-0.853583333333,4.51789772013,empty
59.0314666667,-0.7132,4.59857994955,empty
59.6533333333,0.621866666667,4.37031649143,empty
60.1237368421,0.470403508772,4.08371857832,empty
59.5879444444,-0.535792397661,4.06280075046,empty
60.2847619048,0.696817460317,4.25890984766,empty
60.1214210526,-0.16334085213,4.24766327024,empty
59.2536,-0.867821052632,3.96863466627,empty
58.5565384615,-0.697061538462,3.62601251642,empty
58.0551666667,-0.501371794872,3.27387859589,empty
57.2795454545,-0.775621212121,3.03620583504,empty
57.7282727273,0.448727272727,3.03488593166,empty
57.8508333333,0.122560606061,3.56088658095,empty
58.3307857143,0.479952380952,3.28109499027,empty
