time,distance
1464296251.49,48.175
1464296251.5,50.318
1464296251.51,49.819
1464296251.53,49.839
1464296251.54,50.318
1464296251.56,51.005
1464296251.57,51.005
1464296251.59,51.43
1464296251.6,50.044
1464296251.62,47.885
1464296251.63,47.815
1464296251.65,48.245
1464296251.66,48.69
1464296251.68,47.746
1464296251.69,46.462
1464296251.7,47.505
1464296251.72,55.032
1464296251.74,57.281
1464296251.75,54.554
1464296251.76,56.148
1464296251.96,46.065
1464296251.98,112.023
1464296252.0,56.095
1464296252.01,53.511
1464296252.03,55.977
1464296252.04,57.163
1464296252.24,52.804
1464296252.25,53.662
1464296252.45,46.098
1464296252.47,54.141
1464296252.48,54.66
1464296252.68,43.285
1464296252.69,47.231
1464296252.71,50.027
1464296252.72,46.012
1464296252.74,46.94
1464296252.75,47.333
1464296252.77,48.277
1464296252.78,47.795
1464296252.79,48.654
1464296252.81,49.545
1464296252.82,50.849
1464296252.84,50.866
1464296252.85,50.817
1464296252.87,50.42
1464296252.88,50.011
1464296252.9,50.387
1464296252.91,119.722
1464296252.93,121.064
1464296252.95,59.493
1464296253.15,42.635
1464296253.35,44.45
1464296253.54,43.269
1464296253.74,44.176
1464296253.94,44.54
1464296254.13,45.448
1464296254.15,53.834
1464296254.16,53.904
1464296254.18,54.313
1464296254.19,55.155
1464296254.21,53.969
1464296254.22,53.883
1464296254.24,54.758
1464296254.43,44.52
1464296254.45,53.867
1464296254.46,53.025
1464296254.48,52.959
1464296254.49,52.943
1464296254.51,52.992
1464296254.52,53.368
1464296254.72,45.002
1464296254.73,56.508
1464296254.75,58.757
1464296254.94,43.8
1464296254.96,54.349
1464296254.97,53.92
1464296254.99,54.3
1464296255.0,55.601
1464296255.2,43.919
1464296255.4,43.424
1464296255.41,56.611
1464296255.43,56.696
1464296255.44,57.024
1464296255.45,57.056
1464296255.47,56.627
1464296255.48,57.077
1464296255.5,57.04
1464296255.51,57.486
1464296255.53,56.153
1464296255.54,57.003
1464296255.56,56.132
1464296255.57,56.68
1464296255.59,56.148
1464296255.6,57.024
1464296255.62,57.056
1464296255.63,57.469
1464296255.65,57.163
1464296255.66,56.991
1464296255.68,57.539
1464296255.69,57.436
1464296255.7,57.571
1464296255.72,58.087
